Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Medicines
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history,,,,,,,,,,,,,Inhaler (Salbutamol)
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,Inhaler (Salbutamol)
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,Inhaler (Salbutamol)
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,Inhaler (Salbutamol)
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,Consult doctor
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,Consult doctor
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,Consult doctor
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,Consult doctor
Hypertension , headache, chest_pain, dizziness, lack_of_concentration,,,,,,,,,,,,,,Consult doctor
Hypertension , headache, chest_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,Consult doctor
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,Consult doctor
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,Consult doctor
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,Consult doctor
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,Consult doctor
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,Paracetamol or Ibuprofen
Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,Paracetamol or Ibuprofen
Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,Paracetamol or Ibuprofen
Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,Paracetamol or Ibuprofen
Migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,Paracetamol or Ibuprofen
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,Paracetamol or Ibuprofen
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances,,,,,,,,,,Paracetamol or Ibuprofen
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances,,,,,,,,,,Paracetamol or Ibuprofen
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances,,,,,,,,,,Paracetamol or Ibuprofen
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,,,,,,,,,,Paracetamol or Ibuprofen
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,Pain relievers
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,Pain relievers
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,Pain relievers
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,Pain relievers
Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,,,,,,,,,,,,,,Pain relievers
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,,,,,,,,,,,,,,Pain relievers
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,,,,,,,,,,,,,,Pain relievers
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,Pain relievers
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,Pain relievers
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,Pain relievers
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,Consult doctor
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,Consult doctor
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,Consult doctor
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,Consult doctor
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,,Consult doctor
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,,,,,,,,,,,,,,,Consult doctor
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,Consult doctor
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,Consult doctor
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,Consult doctor
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,,Consult doctor
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,Consult doctor
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,Consult doctor
Jaundice, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,Consult doctor
Jaundice,itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,Consult doctor
Jaundice,itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,Consult doctor
Jaundice,itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,Consult doctor
Jaundice,itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,Consult doctor
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain,,,,,,,,,,,Consult doctor
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, abdominal_pain,,,,,,,,,,,Consult doctor
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine,,,,,,,,,,,Consult doctor
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,,,,,Antimalarial drugs
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,Antimalarial drugs
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,Antimalarial drugs
Malaria, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Antimalarial drugs
Malaria, chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Antimalarial drugs
Malaria, chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Antimalarial drugs
Malaria, chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Antimalarial drugs
Malaria, chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Antimalarial drugs
Malaria, chills, vomiting, high_fever, sweating, headache, diarrhoea, muscle_pain,,,,,,,,,,,Antimalarial drugs
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,,,,,Antimalarial drugs
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,"Calamine lotion, Paracetamol"
Chicken pox, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,"Calamine lotion, Paracetamol"
Chicken pox,itching, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,"Calamine lotion, Paracetamol"
Chicken pox,itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,"Calamine lotion, Paracetamol"
Chicken pox,itching, skin_rash, fatigue, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,"Calamine lotion, Paracetamol"
Chicken pox,itching, skin_rash, fatigue, lethargy, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,"Calamine lotion, Paracetamol"
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,"Calamine lotion, Paracetamol"
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,"Calamine lotion, Paracetamol"
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,"Calamine lotion, Paracetamol"
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, malaise, red_spots_over_body,,,,,,,,"Calamine lotion, Paracetamol"
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, muscle_pain, red_spots_over_body,,,,,"Paracetamol, fluids"
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, red_spots_over_body,,,,,"Paracetamol, fluids"
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain,,,,,"Paracetamol, fluids"
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,"Paracetamol, fluids"
Dengue, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,,"Paracetamol, fluids"
Dengue, skin_rash, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,,"Paracetamol, fluids"
Dengue, skin_rash, chills, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,,"Paracetamol, fluids"
Dengue, skin_rash, chills, joint_pain, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,,"Paracetamol, fluids"
Dengue, skin_rash, chills, joint_pain, vomiting, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,,"Paracetamol, fluids"
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,,"Paracetamol, fluids"
Typhoid, chills, vomiting, fatigue, high_fever, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,,Antibiotics (Consult doctor)
Typhoid, chills, vomiting, fatigue, high_fever, headache, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,,Antibiotics (Consult doctor)
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,,Antibiotics (Consult doctor)
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,,Antibiotics (Consult doctor)
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, toxic_look_(typhos), belly_pain,,,,,,,,Antibiotics (Consult doctor)
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, belly_pain,,,,,,,,Antibiotics (Consult doctor)
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos),,,,,,,,Antibiotics (Consult doctor)
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,Antibiotics (Consult doctor)
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,Antibiotics (Consult doctor)
Typhoid, chills, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,,Antibiotics (Consult doctor)
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,Consult doctor
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,Consult doctor
hepatitis A, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,,Consult doctor
hepatitis A, joint_pain, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,,Consult doctor
hepatitis A, joint_pain, vomiting, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,,Consult doctor
hepatitis A, joint_pain, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,,Consult doctor
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,,Consult doctor
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,,Consult doctor
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,,Consult doctor
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,,Consult doctor
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,,Consult doctor
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,,Consult doctor
